,oso_slug,project_name,project_id,project_url,project_address,funder_name,funder_round_name,funder_round_type,funder_address,funding_amount,funding_currency,funding_network,funding_date
18869,protocol-guild,Protocol Guild,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,https://octant.app/project/1/0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,43.5192,ETH,mainnet,2023-10-19
18870,protocol-guild,Protocol Guild,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,https://octant.app/project/2/0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,36.552,ETH,mainnet,2024-01-17
18871,rotki,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,https://octant.app/project/1/0x9531C059098e3d194fF87FebB587aB07B30B1306,0x9531C059098e3d194fF87FebB587aB07B30B1306,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,33.9164,ETH,mainnet,2023-10-19
18872,hypercerts,Hypercerts,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,https://octant.app/project/1/0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,27.72,ETH,mainnet,2023-10-19
18873,tor-project,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,https://octant.app/project/1/0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,26.1932,ETH,mainnet,2023-10-19
18874,drips-network,Drips,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,https://octant.app/project/2/0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,21.3845,ETH,mainnet,2024-01-17
18875,ethstaker,EthStaker,0xD165df4296C85e780509fa1eace0150d945d49Fd,https://octant.app/project/2/0xD165df4296C85e780509fa1eace0150d945d49Fd,0xD165df4296C85e780509fa1eace0150d945d49Fd,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,18.3456,ETH,mainnet,2024-01-17
18876,hypercerts,Hypercerts,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,https://octant.app/project/2/0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,16.3803,ETH,mainnet,2024-01-17
18877,l2beat,L2BEAT,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,https://octant.app/project/2/0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,16.1058,ETH,mainnet,2024-01-17
18878,revoke-cash,Revoke.cash,0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,https://octant.app/project/2/0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,15.3098,ETH,mainnet,2024-01-17
18879,giveth,Giveth,0x6e8873085530406995170Da467010565968C7C62,https://octant.app/project/1/0x6e8873085530406995170Da467010565968C7C62,0x6e8873085530406995170Da467010565968C7C62,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,13.8307,ETH,mainnet,2023-10-19
18880,drips-network,Drips,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,https://octant.app/project/1/0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,13.287,ETH,mainnet,2023-10-19
18881,opensource-observer,Open Source Observer,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,https://octant.app/project/2/0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,12.962,ETH,mainnet,2024-01-17
18882,,Funding the Commons,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,https://octant.app/project/2/0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,12.147,ETH,mainnet,2024-01-17
18883,metagame-metafam,MetaGame,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,https://octant.app/project/2/0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,11.39,ETH,mainnet,2024-01-17
18884,rotki,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,https://octant.app/project/2/0x9531C059098e3d194fF87FebB587aB07B30B1306,0x9531C059098e3d194fF87FebB587aB07B30B1306,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,11.0643,ETH,mainnet,2024-01-17
18885,onion-dao,OnionDAO,0x20a1B17087482de88Fac6D7B5aE23A7175fd1395,https://octant.app/project/1/0x20a1B17087482de88Fac6D7B5aE23A7175fd1395,0x20a1B17087482de88Fac6D7B5aE23A7175fd1395,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,10.3996,ETH,mainnet,2023-10-19
18886,giveth,Giveth,0x6e8873085530406995170Da467010565968C7C62,https://octant.app/project/2/0x6e8873085530406995170Da467010565968C7C62,0x6e8873085530406995170Da467010565968C7C62,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,10.2301,ETH,mainnet,2024-01-17
18887,tor-project,Tor Project,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,https://octant.app/project/2/0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,8.949,ETH,mainnet,2024-01-17
18888,gitcoin,Gitcoin,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,https://octant.app/project/1/0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,8.1771,ETH,mainnet,2023-10-19
18889,ethereum-cat-herders,Ethereum Cat Herders,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,https://octant.app/project/1/0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,8.0409,ETH,mainnet,2023-10-19
18890,pairwise-general-magic,Pairwise,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,https://octant.app/project/2/0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,Octant,Octant Epoch 2,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,7.9899,ETH,mainnet,2024-01-17
18891,dao-drops-dorgtech,DAO Drops,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,https://octant.app/project/1/0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,7.443,ETH,mainnet,2023-10-19
18892,kernel-community,Kernel,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,https://octant.app/project/1/0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,6.911,ETH,mainnet,2023-10-19
18893,ethstaker,EthStaker,0xD165df4296C85e780509fa1eace0150d945d49Fd,https://octant.app/project/1/0xD165df4296C85e780509fa1eace0150d945d49Fd,0xD165df4296C85e780509fa1eace0150d945d49Fd,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,6.8226,ETH,mainnet,2023-10-19
18894,brightid,BrightID,0x78e084445C3F1006617e1f36794dd2261ecE4AE3,https://octant.app/project/1/0x78e084445C3F1006617e1f36794dd2261ecE4AE3,0x78e084445C3F1006617e1f36794dd2261ecE4AE3,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,6.5221,ETH,mainnet,2023-10-19
18895,clrfund,Clr.fund,0xAb6D6a37c5110d1377832c451C33e4fA16A9BA05,https://octant.app/project/1/0xAb6D6a37c5110d1377832c451C33e4fA16A9BA05,0xAb6D6a37c5110d1377832c451C33e4fA16A9BA05,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,6.4618,ETH,mainnet,2023-10-19
18896,metagame-metafam,MetaGame,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,https://octant.app/project/1/0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,6.3599,ETH,mainnet,2023-10-19
18897,hausdao,PublicHAUS,0x4A9a27d614a74Ee5524909cA27bdBcBB7eD3b315,https://octant.app/project/1/0x4A9a27d614a74Ee5524909cA27bdBcBB7eD3b315,0x4A9a27d614a74Ee5524909cA27bdBcBB7eD3b315,Octant,Octant Epoch 1,Staking Rewards,0xc64783f0be60a81a716535287539a694403183ba,6.3502,ETH,mainnet,2023-10-19
