,oso_slug,project_name,project_id,project_url,project_address,funder_name,funder_round_name,funder_round_type,funder_address,funding_amount,funding_currency,funding_network,funding_date
20110,thales,Thales,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2023-12-01
20111,premiafinance,Premia,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,900000.0,ARB,arbitrum,2023-12-01
20112,camelotlabs,Camelot,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,3090000.0,ARB,arbitrum,2023-12-01
20113,balancer,Balancer,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1200000.0,ARB,arbitrum,2023-12-01
20114,kyber-swap,KyberSwap,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1500000.0,ARB,arbitrum,2023-12-01
20115,timeswap-labs,Timeswap,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2023-12-01
20116,ramsesexchange,Ramses,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,248000.0,ARB,arbitrum,2023-12-01
20117,rodeofi,Rodeo Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,250000.0,ARB,arbitrum,2023-12-01
20118,goodentry-io,GoodEntry,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2023-12-01
20119,dopex-io,Dopex,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1500000.0,ARB,arbitrum,2023-12-01
20120,umamidao,Umami Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2023-12-01
20121,traderjoe-xyz,Trader Joe,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1510000.0,ARB,arbitrum,2023-12-01
20122,defiedge,DefiEdge,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2023-12-01
20123,savvy-finance,Savvy,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2023-12-01
20124,velaexchange,Vela,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2023-12-01
20125,vertex-protocol,Vertex,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,3000000.0,ARB,arbitrum,2023-12-01
20126,,Thetanuts Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2023-12-01
20127,gmx-io,GMX,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,12000000.0,ARB,arbitrum,2023-12-01
20128,stakedao,StakeDAO,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,200000.0,ARB,arbitrum,2023-12-01
20129,woonetwork,WOOFi,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2023-12-01
20130,cowri,Shell Protocol,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2023-12-01
20131,lodestarfinance,Lodestar,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,700000.0,ARB,arbitrum,2023-12-01
20132,fraxfinance,Frax Finance,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1500000.0,ARB,arbitrum,2023-12-01
20133,equilibria-xyz,Perennial,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,750000.0,ARB,arbitrum,2023-12-01
20134,silo-finance,Silo,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,1000000.0,ARB,arbitrum,2023-12-01
20135,winrprotocol,WINR,,https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/,,Arbitrum Foundation,STIP-1,growth,,500000.0,ARB,arbitrum,2023-12-01
