Submission / Project,Round,Submission Title,Project,Category (from Project),Submission URL,Status,Tranche Completion %,Latest Tranche (from Payments),Total Awarded (USD),Total Paid (USD),Total Paid (XLM),Most Recent Payment Date,Award Type,One-Sentence-Description,Products & Services,Technical Architecture,Success Criteria,Website,Code,Video,Use Soroban?,Go-To-Market Plan,Traction Evidence,Tranche 1 - Deliverables,Tranche 2 - Testnet,Tranche 3 - Mainnet,Team Members,Thumbnail,LinkedIn (from Project),X (from Project),Discord (from Project),Pitch Deck (from Project)
Skyhitz,SCF #9,Skyhitz,Skyhitz,Applications,https://communityfund.stellar.org/dashboard/submissions/reclNj9OycGGm4lKW,Awarded,,SCF Legacy Award,$60000.00,$55879.97,223905.0,12/17/2021,Legacy v3.0 Award,Music NFTs marketplace on Stellar,Skyhitz plans to offer music creators a peer-to-peer marketplace where they can mint and trade music NFTs on Stellar and IPFS. We are a non-custodial organization that helps fund and support music creators by giving them the power to own and hold their creative assets without central authority or middle-man. We facilitate transactions between fans and artists on the Stellar Network to grow and support a community that loves music. We aim to expand our reach to all music creators globally and bring equitable access to quality music through the power of decentralized technology.,,,https://skyhitz.io,,https://www.youtube.com/watch?v=0P4mlOzkcYs,,,,,,,Alejo Mendoza,,,https://twitter.com/skyhitz,,
Alfred,SCF #9,Alfred Pay,Alfred,Applications,https://communityfund.stellar.org/dashboard/submissions/recGGvGWEBcaG43xj,Awarded,,SCF Legacy Award,$215000.00,$215000.00,802328.0,12/17/2021,Legacy v3.0 Award,An easier way to send and receive money cross border,"Alfred Pay App (Wallet): The Alfred pay app is a product that provides users with the ability to send and receive their remittances directly from their mobile devices. (iOS + Android)

- Receive USDC in 4-6 seconds: Give users the ability to store funds in Dollars regardless of where they are. Option to send USDC directly to an Alfred username, e.g., @diegoy.
- Send directly to a local bank account: The recipient doesn't need to have a wallet to receive! Avoid high wire costs and send right to their bank account.
- ATM withdrawal feature: Part of the largest ATM network in the DR. Alfred users simply have to locate the nearest ATM and withdraw their pesos in exchange for USDC.
- Create a profile + Add and invite friends and family.
- Compare sending costs in real-time vs. other remittance providers.

Alfred Stellar Anchor (United States, Haiti, Dominican Republic): Building compliant crypto to FIAT off-ramp in the Dominican Republic and Haiti to allow users to access cash in exchange for USDC.

Building Instant ACH On/Off ramp in the United States with PrimeTrust to on-ramp stellar USDC instantly as well as users in a compliant environment.

USAD Stablecoin on Stellar Network: Build United States Alfred Dollar, a wrapped USDC token on the stellar blockchain. Through our stable coin offer 7% high yield account through future partnership and integration with the wyre savings wallet.

Bill Payment Feature (Phone and Power): In allegiance with local phone providers allow individuals to pay their families’ bills directly through the Alfred app.",,,https://alfredpay.io/,,https://youtu.be/n37nwCzYF1E,,,,,,,Diego Yanez,,https://www.linkedin.com/company/alfredpay/,https://x.com/alfredlatam/,,
Stellar Global,SCF #9,Stellar Global,Stellar Global,Applications,https://communityfund.stellar.org/dashboard/submissions/reckCItu7Q79QoTBF,Awarded,,SCF Legacy Award,$100000.00,$100000.00,373176.0,1/12/2022,Legacy v3.0 Award,Stellar Global: Connecting the Human Network,"The Global community is multicultural, multinational and multiethnic. The Stellar Development Foundation’s mission is to help maintain Stellar’s codebase, support the technical and business communities around Stellar, and act as a speaking partner to regulators and institutions. However, behind the ""nodes"" and ""anchors"" is the most crucial component to making the dream of financial inclusion a reality: People.

Creating an inclusive global community requires us to connect, communicate and learn from one another. A developer in France may find help from a #stellarfamily member in Germany. An entrepreneur in Mexico can find the answers she needs to launch her Stellar business from someone in Korea. We all can help one another. This is the focus Stellar Global is here to address.

Stellar Global was founded independently with a vision to become a 501(c)(3) organization whose mission is to educate, connect and advocate for the millions of people that make up the human network of Stellar. It is our belief that Stellar has the potential to create equitable access for those previously excluded from the global financial landscape. Through exposure and education, we can ensure that the human network reflects the diverse world it is intended to serve. https://www.youtube.com/watch?v=4y9N-XHwfwo",,,www.Stellar-global.org,,https://youtu.be/Jnnnc3kN9Hg,,,,,,,Emir Ayral,,,,,
Tip me,SCF #9,tip me - the global tip,Tip me,Applications,https://communityfund.stellar.org/dashboard/submissions/recrPNXsnMqfMFRXI,Awarded,,SCF Legacy Award,$145000.00,$145000.00,541105.0,12/20/2021,Legacy v3.0 Award,Connecting people of both ends of the global supply chain,"tip me

The next time you buy a t-shirt, you can tip the garment workers who made it. 100% of your tip is sent directly to the workers’ individual bank or mobile money accounts be it in Pakistan, Vietnam, or Kenya. Like this, consumers can directly impact the lives of the people who made their products. In only 30 min, brands can implement our tipping solution as a widget in their online shops. By using tip me, brands improve their customer loyalty, retention rates, and long-term revenue.

tip me creates a win-win-win situation for all stakeholders involved: On average, workers receive an additional income equivalent to a 13th monthly income. For the first time, they receive feedback from the end-customers who value their work. This changes not only their income but also their self-esteem. Consumers can give back directly and effectively, knowing that 100% of donations go where they should. They learn about the origin of a product. Companies can position themselves as responsible brands. Because of the unique emotional experience, consumers connect stronger with the brand and the products. This directly translates into higher revenue as the retention rates, shopping cart values, and referrals increase because of tip me.

In 2019, we launched our first pilots. From day one, our solution proved to be very attractive and successful both to consumers and our partner brands. The most important parts of the system have now been automated: we can onboard and administer thousands of workers effectively. Installing our solution into new online shops is fast and convenient. The bottleneck for us to reach millions of workers worldwide is the traditional banking sector. The high transfer fees, the administration overhead, and low transparency of the old system are big main pain points.

As Stellar has specialized in cross-border money transfer, it is the most attractive blockchain network available for our use case. The possibilities of the Stellar network, especially with its instant payments at an extremely low cost and high transparency, would be a breakthrough for the scalability of our mission. The automation of payments will decrease our administration overhead significantly.

Stellar will reduce the transaction cost of tip me by 90%. In our business model, brands pay these transfer fees. Especially for corporate brands with over 100,000 workers, these transaction costs from tip me amount to millions of USD per year. Stellar reduces them to a minimum. This new pricing made possible by Stellar will make the tip me product an absolute no-brainer for large brands looking for impact and marketing.

By reducing our administration overhead, tip me can reach 2x more workers with the same team size. Thanks to the inherent transparency of blockchain transactions, we can create a donation/tipping experience where consumers, workers, and brands can trace their impact in real-time. They can see proof that 100% of their tips have been sent to the wallets in question, instead of blindly trusting our organization.

The SCF grant will enable us to move the global tipping solution onto the Stellar network. Thanks to the blockchain capabilities, we can create truly borderless donations directly to individuals, safe and transparent. This investment creates another powerful real-world Stellar use case. It shows how Stellar enables new business models and donation solutions that would not be possible in the old banking system. It shows the potential of microtransactions and borderless payments by creating direct social impact for garment workers around the globe. It enables tip me to scale our impact to millions of workers.",,,https://tip-me.org,,https://www.youtube.com/watch?v=m7NMk65_UvM,,,,,,,Helen Deacon,,,,,
Kunst21.com,SCF #9,Kunst21.com,Kunst21.com,Applications,https://communityfund.stellar.org/dashboard/submissions/recuF7Hw0AKUPuzrU,Awarded,,SCF Legacy Award,,$111600.00,407150.67,9/29/2021,Legacy v3.0 Award,,,,,,,,,,,,,,,,,,,
GetPaid,SCF #9,GetPaid,GetPaid,Applications,https://communityfund.stellar.org/dashboard/submissions/recNDS0b5hl2VKuFI,Awarded,,SCF Legacy Award,$192500.00,$192500.00,718363.0,12/20/2021,Legacy v3.0 Award,"Provides creators, traders and freelancers in Africa with opportunities to create income through connecting and learning. Live, Work and GetPaid.","GetPaid is a place that connects creators, traders, and freelancers in Africa with worldwide opportunities. We do this through digital gigs, trade, education, and innovation. GetPaid exists out of a knowledge hub to learn, a community group to connect, and an app to get paid. GetPaid is a place built for our community, existing out of creators, traders, and freelancers.

The GetPaid team is an experienced team well known with Stellar and its technology, as we have operated ClickPesa for the last 3 years. In addition, we also know the African digital economy well. Bridging those two worlds is a perfect fit. Stellar’s open, low-fee network is what creators, traders, and freelancers in Africa need. However, just giving them the technology is not enough; a simple user interface on top of Stellar is what this group needs. GetPaid is the result.

Earlier this year, GetPaid started slowly validating assumptions through low-tech solutions. We technologize where needed, as technology is not always the answer, and try different ideas catered towards our community of creators, traders, and freelancers. This has resulted in a marketplace app open for African creators, traders, and freelancers whereby they can connect with global gig-providers and earn money. The marketplace app is utilizing Stellar’s ecosystem and technology where possible. Each registered user (creator and gig-provider) gets a Stellar account to store their received tokens in.

Although we started with a community group and an app to store tokens in, the GetPaid product is far from finished. We just started, whereby utilization of the Stellar account functionality is step 1. Considering many exciting developments are happening on the Stellar network, there have been identified many interesting use cases such as NFTs on the Stellar network (low fees compared to Opensea on Ethereum, affordable for Africa, our community already loves the idea), yield earning, escrow, and many others. The first step is accomplished and our community is guiding us on what they further need. We do this with a Stellar-first approach, utilizing its technology and ecosystem as much as possible. Think of directing more users to Litemint.com to sell NFTs and using Lobstr or Stellarterm to get access to other tokens.",,,https://getpaid.africa,,https://youtu.be/LVsojqIgcdg,,,,,,,Rick Groothuizen,,,,,
xBull,SCF #9,xBull Market,xBull,Applications,https://communityfund.stellar.org/dashboard/submissions/recFqkCcGL7ABiF7G,Awarded,,SCF Legacy Award,$56200.00,$52340.82,209724.0,12/17/2021,Legacy v3.0 Award,"A fully decentralized, open source and privacy focused P2P market in the Stellar Network",We are the creators of xBull Wallet and we have been updating it constantly with the vision of building services and products on top of it once it has reached maturity and large distribution. The first project we want to launch is xBull P2P Market. This is a fully decentralized and privacy-focused P2P market integrated into our wallet so people can exchange assets in the Stellar ecosystem and fiat without the need of a third party.,,,https://xbull.app,,https://vimeo.com/648179446,,,,,,,Enrique A.,,,https://twitter.com/xBullWallet/,,
Quidroo,SCF #9,Quidroo,Quidroo,Applications,https://communityfund.stellar.org/dashboard/submissions/reclXx6KR4ToWTPsG,Awarded,,SCF Legacy Award,$35000.00,$55879.97,223905.0,12/17/2021,Legacy v3.0 Award,Helping Nigerian SMEs with unlocking their trapped cash flow,"Quidroo is an online factoring platform where transactions are streamlined and SMEs get paid within 72 hours by selling their invoices to investors to get fast cash at favorable rates. Quidroo is 'women first' and focuses on SDG 9.3 Increasing the proportion of small-scale industries with access to finance in developing countries and SDG 8.3 Increasing the proportion of people with access to financial services.

At Quidroo, our long term goal is to be the premier online factoring platform in Africa that supports small and medium businesses in accessing quick, easy and transparent short term financing. Our target is to have 50,000 SMEs using our platform by 2026.

https://uploads-ssl.webflow.com/62ea95eedf96d876cdc904ef/62eaf53f3ce76479c7220eba_619eca8fb3de7b4cc6133cdb_image%25201%2520(2).png

https://uploads-ssl.webflow.com/62ea95eedf96d876cdc904ef/62eaf53f3ce7641d68220eb9_619ecac7293b1ed4777f5570_image%25201%2520(3).png",,,https://quidroo.com,,https://www.loom.com/share/084d337c7194430280e22350279ff028,,,,,,,Funto Boroffice,,,,,
Answerly,SCF #9,"Answerly - Answer questions, get paid!",Answerly,Applications,https://communityfund.stellar.org/dashboard/submissions/recP1Xp2YnSfxoXHE,Awarded,,SCF Legacy Award,,$150000.00,547245.53,9/29/2021,Legacy v3.0 Award,,,,,,,,,,,,,,,,,,,
Benkiko REST APIs,SCF #9,Benkiko Finance,Benkiko REST APIs,Developer Tooling,https://communityfund.stellar.org/dashboard/submissions/recgkswpYe1ft72DP,Awarded,,SCF Legacy Award,$40000.00,$38348.96,149270.0,12/20/2021,Legacy v3.0 Award,The Digital Bank for The Digital Economy.,"Benkiko is an online micropayments and tokenization platform for Africa. As The Digital Bank for The Digital Economy, Benkiko enables African online shops, content creators, and freelancers to get paid easily across borders and offers them avenues to invest. Benkiko combines an effective superapp approach with ready-to-use SDKs for developers across Africa to develop solutions for their local market needs and issue tokens for their projects and communities.

Powered by Stellar, the projects and communities can issue digital tokens/assets for governance, utility, or other use cases and become tradable on Stellar DEX as well as AMM.

Benkiko's goal is to enable online platforms and marketplaces to enjoy seamless and affordable payments through easy-to-use SDKs, and enable users of these apps to also get to invest in them through tokens and digital assets. This democratizes wealth creation for average Africans who've been locked out of investment opportunities in the legacy financial system.",,,https://benkiko.io/,,https://www.youtube.com/watch?v=eEtzkeVejMs,,,,,,,"John Frank Githiaka, mugane",,,https://x.com/BenkikoAPIs,,
