funding_date,from_funder_name,to_project_name,amount,grant_pool_name,metadata
2025-03-12,optimism,sparkdotfi,1700000.0,grants_season_7,"{""application_name"":""Spark Liquidity Layer and Savings Deployment on Optimism and Ink"",""application_url"":""https://app.charmverse.io/op-grants/spark-liquidity-layer-and-savings-deployment-on-optimism-and-ink-8531253064654793"",""token_amount"":2000000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-17"",""op_delivered"":800000.0,""intent"":""TVL""}"
2025-03-12,optimism,velodrome,850000.0,grants_season_7,"{""application_name"":""Velodrome Finance"",""application_url"":""https://app.charmverse.io/op-grants/velodrome-finance-40205294652854406"",""token_amount"":1000000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-04"",""op_delivered"":400000.0,""intent"":""TVL""}"
2025-03-12,optimism,aerodrome-finance,552500.0,grants_season_7,"{""application_name"":""Aerodrome Finance"",""application_url"":""https://app.charmverse.io/op-grants/aerodrome-finance-25857780866004987"",""token_amount"":650000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-04"",""op_delivered"":650000.0,""intent"":""TVL""}"
2025-03-12,optimism,morpho-org,425000.0,grants_season_7,"{""application_name"":""Morpho (Base) Grant Application"",""application_url"":""https://app.charmverse.io/op-grants/morpho-base-grant-application-4999213785903762"",""token_amount"":500000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-10"",""op_delivered"":200000.0,""intent"":""TVL""}"
2025-03-12,optimism,fluid-instadapp,425000.0,grants_season_7,"{""application_name"":""Fluid DEX on Base"",""application_url"":""https://app.charmverse.io/op-grants/fluid-dex-on-base-12731267690074222"",""token_amount"":500000,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""TVL""}"
2025-03-12,optimism,uniswap,425000.0,grants_season_7,"{""application_name"":""Uniswap on Superchain (OP, INK, Unichain)"",""application_url"":""https://app.charmverse.io/op-grants/uniswap-on-superchain-op-ink-unichain-01379445297945825"",""token_amount"":500000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-24"",""op_delivered"":200000.0,""intent"":""TVL""}"
2025-03-12,optimism,morpho-org,425000.0,grants_season_7,"{""application_name"":""Morpho USDT0 Growth Grant Application"",""application_url"":""https://app.charmverse.io/op-grants/morpho-usdt0-growth-grant-application-6688681010906006"",""token_amount"":500000,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""TVL""}"
2025-03-12,optimism,euler-xyz,425000.0,grants_season_7,"{""application_name"":""Euler Finance - Season 7"",""application_url"":""https://app.charmverse.io/op-grants/euler-finance-season-7-5576463144358519"",""token_amount"":500000,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""TVL""}"
2025-03-12,optimism,morpho-org,394400.0,grants_season_7,"{""application_name"":""Morpho Co-Incentives (World Chain)"",""application_url"":""https://app.charmverse.io/op-grants/morpho-co-incentives-world-chain-0074971389136164746"",""token_amount"":464000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-24"",""op_delivered"":185600.0,""intent"":""TVL""}"
2025-03-12,optimism,fluid-instadapp,340000.0,grants_season_7,"{""application_name"":""Fluid on Superchain"",""application_url"":""https://app.charmverse.io/op-grants/fluid-on-superchain-4625169031360912"",""token_amount"":400000,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""TVL""}"
2025-03-12,optimism,kyo-finance,212500.0,grants_season_7,"{""application_name"":""Kyo Finance on Soneium"",""application_url"":""https://app.charmverse.io/op-grants/kyo-finance-on-soneium-08285509857879636"",""token_amount"":250000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-03-28"",""op_delivered"":250000.0,""intent"":""TVL""}"
2025-03-12,optimism,sake-finance,212500.0,grants_season_7,"{""application_name"":""Sake Finance"",""application_url"":""https://app.charmverse.io/op-grants/sake-finance-12936212467889252"",""token_amount"":250000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-10"",""op_delivered"":100000.0,""intent"":""TVL""}"
2025-03-12,optimism,bedrock-technology,199750.0,grants_season_7,"{""application_name"":""Bedrock's Base & BOB LRT Growth Plan"",""application_url"":""https://app.charmverse.io/op-grants/bedrock-s-base-bob-lrt-growth-plan-6146221434906467"",""token_amount"":235000,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""TVL""}"
2025-03-12,optimism,moonwell-fi,170000.0,grants_season_7,"{""application_name"":""Moonwell Core Markets (Base + OP Mainnet)"",""application_url"":""https://app.charmverse.io/op-grants/moonwell-core-markets-base-op-mainnet-20600191452523342"",""token_amount"":200000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-03-28"",""op_delivered"":80000.0,""intent"":""TVL""}"
2025-03-12,optimism,velodrome,136000.0,grants_season_7,"{""application_name"":""ChainSecurity: Velodrome (Superswaps)"",""application_url"":""https://app.charmverse.io/op-grants/chainsecurity-velodrome-superswaps-06394677827148398"",""token_amount"":160000,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""Audits""}"
2025-03-12,optimism,riftlend,102894.2,grants_season_7,"{""application_name"":""RiftLend Audit Grant Application"",""application_url"":""https://app.charmverse.io/op-grants/riftlend-audit-grant-application-310084765753345"",""token_amount"":121052,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-17"",""op_delivered"":60526.0,""intent"":""Audits""}"
2025-03-12,optimism,alchemix,85000.0,grants_season_7,"{""application_name"":""Alchemix AAVE ETH/USDC Vault Grant"",""application_url"":""https://app.charmverse.io/op-grants/alchemix-aave-eth-usdc-vault-grant-8743081511188187"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-03-28"",""op_delivered"":40000.0,""intent"":""TVL""}"
2025-03-12,optimism,mode-network,85000.0,grants_season_7,"{""application_name"":""Mode DeFAI Application"",""application_url"":""https://app.charmverse.io/op-grants/mode-defai-application-6251295212903039"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-24"",""op_delivered"":40000.0,""intent"":""TVL""}"
2025-03-12,optimism,extra-finance,85000.0,grants_season_7,"{""application_name"":""Futarchy Experiment Extra Finance"",""application_url"":""https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-03"",""op_delivered"":100000.0,""intent"":""Futarchy Experiment""}"
2025-03-12,optimism,gyrostable,85000.0,grants_season_7,"{""application_name"":""Futarchy Experiment Gyroscope"",""application_url"":""https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-17"",""op_delivered"":100000.0,""intent"":""Futarchy Experiment""}"
2025-03-12,optimism,reservoirprotocol,85000.0,grants_season_7,"{""application_name"":""Futarchy Experiment Reservoir"",""application_url"":""https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-24"",""op_delivered"":100000.0,""intent"":""Futarchy Experiment""}"
2025-03-12,optimism,qidao-mai-finance,85000.0,grants_season_7,"{""application_name"":""Futarchy Experiment QiDAO"",""application_url"":""https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-24"",""op_delivered"":100000.0,""intent"":""Futarchy Experiment""}"
2025-03-12,optimism,silo-finance,85000.0,grants_season_7,"{""application_name"":""Futarchy Experiment Silo"",""application_url"":""https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-10"",""op_delivered"":100000.0,""intent"":""Futarchy Experiment""}"
2025-03-12,optimism,moonwell-fi,85000.0,grants_season_7,"{""application_name"":""Morpho on OP Mainnet: Moonwell Flagship USDC Vault and Isolated Markets"",""application_url"":""https://app.charmverse.io/op-grants/morpho-on-op-mainnet-moonwell-flagship-usdc-vault-and-isolated-markets-8274442712198682"",""token_amount"":100000,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-05-01"",""op_delivered"":40000.0,""intent"":""TVL""}"
2025-03-12,optimism,kyo-finance,78885.09999999999,grants_season_7,"{""application_name"":""Kyo Finance Audit Grant Application"",""application_url"":""https://app.charmverse.io/op-grants/kyo-finance-audit-grant-application-4968349041657689"",""token_amount"":92806,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""Audits""}"
2025-03-12,optimism,extra-finance,75140.0,grants_season_7,"{""application_name"":""ExtraFi XLend Audit Grant Application"",""application_url"":""https://app.charmverse.io/op-grants/extrafi-xlend-audit-grant-application-9921929368393887"",""token_amount"":88400,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-17"",""op_delivered"":44200.0,""intent"":""Audits""}"
2025-03-12,optimism,vfat-io,73950.0,grants_season_7,"{""application_name"":""Vfat subsidised audit 2nd batch"",""application_url"":""https://app.charmverse.io/op-grants/vfat-subsidised-audit-2nd-batch-5250511139194045"",""token_amount"":87000,""token_unit"":""OP"",""status"":NaN,""initial_delivery_date"":null,""op_delivered"":null,""intent"":""Audits""}"
2025-03-12,optimism,vfat-io,69700.0,grants_season_7,"{""application_name"":""Vfat subsidised audit"",""application_url"":""https://app.charmverse.io/op-grants/vfat-subsidised-audit-7307707713002884"",""token_amount"":82000,""token_unit"":""OP"",""status"":""Sent to locked Multisig"",""initial_delivery_date"":""2025-03-28"",""op_delivered"":82000.0,""intent"":""Audits""}"
2025-03-12,optimism,zkp2p,14319.1,grants_season_7,"{""application_name"":""ZKP2P Audit Grant Application"",""application_url"":""https://app.charmverse.io/op-grants/zkp2p-audit-grant-application-9097796705116432"",""token_amount"":16846,""token_unit"":""OP"",""status"":""Sent"",""initial_delivery_date"":""2025-04-17"",""op_delivered"":33693.0,""intent"":""Audits""}"
