,to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
0,defi-wonderland,102326.74278334368,2024-10-23,optimism,retrofunding5,"{""application_name"": ""opUSDC"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xb7ab34b29ac7c1f61777caa55b2b0e39de62a3a3f14c...\nproject_name                                                       opUSDC\nproject_display_name                                               opUSDC\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  60192.201637\nto_project_name                                           defi-wonderland\namount                                                      102326.742783\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 0, dtype: object"", ""token_amount"": 60192.20163726099, ""token_unit"": ""OP""}"
1,shutter-network,115445.55596069543,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Deployment of the Shutterized"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xb146c27a51c52f663d11de86f32aca56262b4d23f450...\nproject_name                                Deployment of the Shutterized\nproject_display_name    Deployment of the Shutterized Optimism (SHOP) ...\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  67909.150565\nto_project_name                                           shutter-network\namount                                                      115445.555961\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 1, dtype: object"", ""token_amount"": 67909.15056511496, ""token_unit"": ""OP""}"
2,shutter-network,137747.53836219345,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Feasibility study for"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x036fc6760516760a635745917887ae8539ec512f4fde...\nproject_name                                        Feasibility study for\nproject_display_name    Feasibility study for Front-running protection...\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  81027.963742\nto_project_name                                           shutter-network\namount                                                      137747.538362\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 2, dtype: object"", ""token_amount"": 81027.96374246673, ""token_unit"": ""OP""}"
3,dappnode,148225.26318689017,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Dappnode"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x99f2af658ef373b4c227972a458db4a6149fb7179103...\nproject_name                                                     Dappnode\nproject_display_name                                             Dappnode\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  87191.331286\nto_project_name                                                  dappnode\namount                                                      148225.263187\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 3, dtype: object"", ""token_amount"": 87191.33128640598, ""token_unit"": ""OP""}"
4,nethermindeth,265026.7705781595,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Nethermind Ethereum Execution"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xa19d926c47b96113cac94ca5e5ef0448de6a0dae0810...\nproject_name                                Nethermind Ethereum Execution\nproject_display_name                 Nethermind Ethereum Execution Client\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                  155898.10034\nto_project_name                                             nethermindeth\namount                                                      265026.770578\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 4, dtype: object"", ""token_amount"": 155898.10034009384, ""token_unit"": ""OP""}"
5,,240336.65740908412,2024-10-23,optimism,retrofunding5,"{""application_name"": ""OP Nethermind"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xc150e51f4f208b725e269deb41f71bb6a3ff55633acb...\nproject_name                                                OP Nethermind\nproject_display_name                                        OP Nethermind\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 141374.504358\nto_project_name                                                       NaN\namount                                                      240336.657409\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 5, dtype: object"", ""token_amount"": 141374.5043582848, ""token_unit"": ""OP""}"
6,runtimeverification,163985.1647168969,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Formal Verification of"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x64961108e65c1c897e033c5609361839998fbf117c31...\nproject_name                                       Formal Verification of\nproject_display_name    Formal Verification of Optimism's L1 pausabili...\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  96461.861598\nto_project_name                                       runtimeverification\namount                                                      163985.164717\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 6, dtype: object"", ""token_amount"": 96461.86159817464, ""token_unit"": ""OP""}"
7,,205736.66530340348,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Besu"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xdbc857989b31f11432bed73b26e7316ce7aa74966208...\nproject_name                                                         Besu\nproject_display_name                                                 Besu\nproject_category                              Ethereum Core Contributions\nrf5_rewards                                                 121021.567826\nto_project_name                                                       NaN\namount                                                      205736.665303\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 7, dtype: object"", ""token_amount"": 121021.56782553146, ""token_unit"": ""OP""}"
8,reth-paradigmxyz,273658.44287955755,2024-10-23,optimism,retrofunding5,"{""application_name"": ""OP Reth"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xc6ce7c19e261fb70c69dd6a721637b82fa21a048bf66...\nproject_name                                                      OP Reth\nproject_display_name                                              OP Reth\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 160975.554635\nto_project_name                                          reth-paradigmxyz\namount                                                       273658.44288\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 8, dtype: object"", ""token_amount"": 160975.55463503386, ""token_unit"": ""OP""}"
9,,150341.59901245113,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Cantina.xyz"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x95b0f6f25851da3d3ba17d4cd71e0925b7d234c1db32...\nproject_name                                                  Cantina.xyz\nproject_display_name                        Cantina.xyz - OP Stack Audits\nproject_category                                             OP Stack R&D\nrf5_rewards                                                  88436.234713\nto_project_name                                                       NaN\namount                                                      150341.599012\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 9, dtype: object"", ""token_amount"": 88436.23471320655, ""token_unit"": ""OP""}"
10,testinprod-io,220396.06137950945,2024-10-23,optimism,retrofunding5,"{""application_name"": ""OP Erigon"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0xfc00945848ac2ee9a42c64242e90d612cd16435b4608...\nproject_name                                                    OP Erigon\nproject_display_name                                            OP Erigon\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 129644.741988\nto_project_name                                             testinprod-io\namount                                                       220396.06138\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 10, dtype: object"", ""token_amount"": 129644.74198794673, ""token_unit"": ""OP""}"
11,optimism,224594.0815962619,2024-10-23,optimism,retrofunding5,"{""application_name"": ""Asterisc"", ""application_url"": ""https://round5.retrolist.app/project/project_id              0x6190ca70e5196f582a65d1f73236eff346b72cd922df...\nproject_name                                                     Asterisc\nproject_display_name                                             Asterisc\nproject_category                                             OP Stack R&D\nrf5_rewards                                                 132114.165645\nto_project_name                                                  optimism\namount                                                      224594.081596\nfunding_date                                                   2024-10-23\nfrom_funder_name                                                 optimism\ngrant_pool_name                                             retrofunding5\nName: 11, dtype: object"", ""token_amount"": 132114.16564485995, ""token_unit"": ""OP""}"
