to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
soroban-explorer,61000.0,2023-09-29,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Soroban Explorer"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recB7Lz9t4Zl69bac"",""token_amount"": 521324.47,""token_unit"": ""XLM""}"
nownodes,28090.0,2023-10-05,stellar,stellar_community_fund,scf-19,"{""application_name"": ""NOWNodes"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recd8vP3BvCKs2zqY"",""token_amount"": 249598.73,""token_unit"": ""XLM""}"
canfy,50100.0,2023-10-06,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Canfy"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recfjZWvOsCHoeqOV"",""token_amount"": 448554.38,""token_unit"": ""XLM""}"
goldsky,128000.0,2023-10-06,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Goldsky"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recnHUE6Wv5qJbloO"",""token_amount"": 1140221.36,""token_unit"": ""XLM""}"
litemint,103110.9,2023-10-05,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Litemint"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recpYqqIa55PTnKF3"",""token_amount"": 916211.33,""token_unit"": ""XLM""}"
haciendo-stellar,29040.0,2023-10-06,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Haciendo Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recp9KDwOeRFfD6Fx"",""token_amount"": 261881.14,""token_unit"": ""XLM""}"
ctx-com,88200.0,2023-10-06,stellar,stellar_community_fund,scf-19,"{""application_name"": ""CTX.com Spend"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recs3a3kKPgwjWT1Y"",""token_amount"": 779730.14,""token_unit"": ""XLM""}"
mercury,72000.0,2023-09-29,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Mercury"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recwq69g0TVuylMjO"",""token_amount"": 617480.19,""token_unit"": ""XLM""}"
alfred,120000.0,2023-08-31,stellar,stellar_community_fund,scf-19,"{""application_name"": ""alfred "",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recJEHkfUrrbLVcg8"",""token_amount"": 978568.47,""token_unit"": ""XLM""}"
multiclique,97500.0,2023-10-11,stellar,stellar_community_fund,scf-19,"{""application_name"": ""MultiClique"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recRZEosG6FWORKcP"",""token_amount"": 930010.32,""token_unit"": ""XLM""}"
assetdesk,77000.0,2023-12-06,stellar,stellar_community_fund,scf-19,"{""application_name"": ""AssetDesk"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec6pAYRxRQmNDwFm"",""token_amount"": 615974.18,""token_unit"": ""XLM""}"
constellation-protocol,110000.0,2023-10-25,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Unlock - Stellar Index"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recaIeMYytTyQmjRu"",""token_amount"": 952089.72,""token_unit"": ""XLM""}"
stellar-on-metamask,71000.0,2023-10-11,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Stellar On Metamask"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reccBR6CyNvbjqL2E"",""token_amount"": 674028.95,""token_unit"": ""XLM""}"
stellarchain-io,140635.0,2023-09-29,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Stellarchain.io"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/receYuwM1ucRK5MB2"",""token_amount"": 1202589.22,""token_unit"": ""XLM""}"
syklo,25100.0,2023-10-05,stellar,stellar_community_fund,scf-19,"{""application_name"": ""Syklo WooCommerce integration"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recnQwmWOJN7EZPmj"",""token_amount"": 221407.83,""token_unit"": ""XLM""}"
sorosplits,59700.0,2023-10-06,stellar,stellar_community_fund,scf-19,"{""application_name"": ""SoroSplits"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec7WPgnHqLHBaH3E"",""token_amount"": 531806.37,""token_unit"": ""XLM""}"
