to_project_name,amount,funding_date,from_funder_name,grant_name,grant_pool_name,metadata
aurapay,84000.00,2024-02-05,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Aura | A Stellar EURC on-ramp II"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recziPrVKcJ52HPDT"",""token_amount"": 774829.1,""token_unit"": ""XLM""}"
mykobo,50000.00,2024-01-24,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Circle EURC Ramps"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recC3UjMDACs8QAc5"",""token_amount"": 449149.93,""token_unit"": ""XLM""}"
dropzey,38500.00,2024-01-30,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Dropzey"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recERxnKE8etaSrMs"",""token_amount"": 335132.31,""token_unit"": ""XLM""}"
soroban-explorer,100000.00,2024-02-13,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Soroban Explorer II"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/rec85RVkmAjDXl8T5"",""token_amount"": 905702.8,""token_unit"": ""XLM""}"
sanctum,50000.00,2024-01-31,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Soroban contracts with secrets"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recdGy1JdPi0qtRpj"",""token_amount"": 456675.2,""token_unit"": ""XLM""}"
gladius,45000.00,2024-01-30,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Gladius: play, learn, earn"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recfsyLeAtOamI3vm"",""token_amount"": 391713.09,""token_unit"": ""XLM""}"
paygo-crypto,16700.00,2024-01-30,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""PAYGOCrypto - Stellar"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/reckZmrJK4MDVG3lE"",""token_amount"": 145369.1,""token_unit"": ""XLM""}"
aquarius,94000.00,2024-02-07,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Aquarius AMM Launch on Soroban"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recmDHN0X0EQoxVWw"",""token_amount"": 876595.8,""token_unit"": ""XLM""}"
nobak,34500.00,2024-01-24,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Nobak: Custodial Wallet Signer"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recsBO1vLdYFZMucB"",""token_amount"": 309913.45,""token_unit"": ""XLM""}"
skeeper-a-keeper-platform,37500.00,2024-01-30,stellar_development_foundation,stellar_community_fund,scf-23,"{""application_name"": ""Skeeper - a keeper platform"",""application_url"": ""https://airtable.com/appymB1sbp5uidiGe/shrsaWm1IyNZTCEhX/tblpytbu3t73kssiE/viwTba5X3EUwzXlcr/recx1FddyJA3dibUN"",""token_amount"": 326427.6,""token_unit"": ""XLM""}"
