,project,link,amount,tags,dune_namespace,oso_name
0,0xSplits,https://app.optimism.io/retropgf-discovery/0x9ebC8E61f87A301fF25a606d7C06150f856F24E2,52154.0,RetroPGF2,0xSplits,0x-splits
1,Splits,https://vote.optimism.io/retropgf/3/application/0x2b4aeb64146ded169a426bde053b3f9e9e925ee740a58149d92812114af83de6,92167.83,RetroPGF3,0xSplits,0x-splits
2,Oneinch,https://gov.optimism.io/t/gf-phase-0-proposal-1inch-network/655,300000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",1Inch,1-inch
3,Aave,https://gov.optimism.io/t/gf-phase-0-proposal-aave/1712,300000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Aave,aave
4,Across Protocol,https://vote.optimism.io/retropgf/3/application/0xc69423093777bdb9ea96d3047694d4de113cc4722d9832e09bb717e570ddb941,38223.26,RetroPGF3,Across,across
5,Across Protocol,https://gov.optimism.io/t/ready-gf-phase-1-proposal-across-protocol-updated-template/3401,750000.0,"Grants Season 2, Cycle 6 (Phase 1)",Across,across
6,Across Protocol,https://app.optimism.io/retropgf-discovery/0x33DB27C21E0f7a2f3351A4C6DDceDFB9F713410b,15039.0,RetroPGF2,Across,across
7,ACryptoS,https://vote.optimism.io/retropgf/3/application/0x5cc8dc85d40909999a55201f90c714b334cc502f013209497a271934e604b9d0,0.0,RetroPGF3,AcryptoS,acrypto-s
8,Aelin,https://gov.optimism.io/t/gf-phase-0-proposal-aelin-protocol/1157,900000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Aelin,aelin
9,Alchemix,https://gov.optimism.io/t/ready-gf-phase-1-cycle-8-proposal-alchemix/3764/2,250000.0,"Grants Season 2, Cycle 8 (Phase 1)",Alchemix,alchemix
10,Angle,https://gov.optimism.io/t/review-gf-phase-1-proposal-angle-protocol/2552,250000.0,"Grants Season 2, Cycle 8 (Phase 1)","Angle Protocol, Angle",angle-protocol
11,Another World,https://vote.optimism.io/retropgf/3/application/0x7cf3ce699a7d72e767947a95cf180a72884dddfd70b306daa9e7f5be52f01ba8,34782.75,RetroPGF3,Another World,another-world
12,Another World,https://gov.optimism.io/t/another-world-growth-experiments-cycle-11/5538,50000.0,"Grants Season 3, Cycle 11",Another World,another-world
13,Ante,https://app.optimism.io/retropgf-discovery/0xa5b4f91FDE4E35Be891eA97C47D1052D8a4D75f7,12929.0,RetroPGF2,Ante Finance,ante-finance
14,Aura Finance,https://app.charmverse.io/op-grants/proposals?id=0d288198-b4f6-4b1d-844e-01779ccc5d2f,150000.0,"Grants Season 4, Cycle 13, Growth Grant",Aura,aura
15,Bankless DAO,https://vote.optimism.io/retropgf/3/application/0x023ec749b1a3ad4335595edad791b6dd5523a94817f53cba336060779471c3c8,23164.32,RetroPGF3,Bankless DAO,banklessdao
16,Bankless DAO: Global Campaign to spread the Optimistic vision,https://gov.optimism.io/t/final-banklessdao-s-global-campaign-to-spread-the-optimistic-vision/6113,70395.0,"Missions Season 4, Cycle 13, Intent 3, Fledgling, Builders Grant",Bankless DAO,banklessdao
17,BanklessDAO Projects,https://app.optimism.io/retropgf-discovery/0x958c20A43F5206F186B0195cCB61Acb724b2EE1E,27568.0,RetroPGF2,Bankless DAO,banklessdao
18,Beefy - Universal Zap,https://app.charmverse.io/op-grants/page-11504029675210492,210000.0,"Grants Season 4, Cycle 15, Growth Grant",Beefy Finance,beefy-finance
19,Beefy Finance,https://gov.optimism.io/t/ready-gf-phase-1-proposal-beefy/2967/,650000.0,"Grants Season 1, Cycle 4 (Phase 1)",Beefy Finance,beefy-finance
20,Biconomy,https://gov.optimism.io/t/ready-gf-phase-1-proposal-biconomy/2880,750000.0,"Grants Season 1, Cycle 3 (Phase 1)",Biconomy,biconomy
21,Celer,https://gov.optimism.io/t/gf-phase-0-proposal-celer-network/1749,1000000.0,"Grants Season 1, Cycle 1 (Phase 0)",Celer,celer
22,Chainlink,https://gov.optimism.io/t/gf-phase-0-proposal-chainlink/1701,1000000.0,"Grants Season 1, Cycle 1 (Phase 0)",Chainlink,chainlink
23,Clipper,https://vote.optimism.io/retropgf/3/application/0xdc7d2186884c4635d06e1ba6c63ac036abeae77eaa753df024ad7029f6b63831,49689.64,RetroPGF3,"Clipper, Collab.Land",shipyard-software
24,Clipper,https://gov.optimism.io/t/gf-phase-0-proposal-clipper/1322/7,300000.0,"Grants Season 1, Cycle 1 (Phase 0)","Clipper, Collab.Land",shipyard-software
25,Connext,https://gov.optimism.io/t/gf-phase-0-proposal-connext/851,300000.0,"Grants Season 1, Cycle 1 (Phase 0)",Connext,connext
26,Coordinape,https://vote.optimism.io/retropgf/3/application/0xcec7aea98b44a9e53c771a33664e9349c0cfd6d9bb769a40c2acb8baf1a3beb1,99379.28,RetroPGF3,Coordinape,coordinape
27,Curve,https://gov.optimism.io/t/draft-gf-phase-1-proposal-curve/3089,504828.0,"Grants Season 2, Cycle 8 (Phase 1)",Curve,curve
28,Decent.xyz,https://vote.optimism.io/retropgf/3/application/0x8afe332e8f4c42d4df6e92389c13e0e1b3a43369655761e4f17af9c50975ba18,56637.25,RetroPGF3,Decent,decent
29,DefiLlama,https://vote.optimism.io/retropgf/3/application/0xda04cebe79ec8547116a948edfbdb87e48dcb0543b29b7276df53df579170f74,248448.21,RetroPGF3,DefiLlama,defi-llama
30,DefiLlama,https://gov.optimism.io/t/review-gf-phase-1-proposal-defillama/3562,300000.0,"Grants Season 2, Cycle 8 (Phase 1)",DefiLlama,defi-llama
31,DefiLlama,https://app.optimism.io/retropgf-discovery/0x3754a10c1cA723961068B2653109E6201982Dd9c,171293.0,RetroPGF2,DefiLlama,defi-llama
32,Dope Wars,https://gov.optimism.io/t/review-gf-phase-1-proposal-cycle-7-dope-wars/3592,300000.0,"Grants Season 2, Cycle 7 (Phase 1)",Dope Wars,dopedao
33,Extra Finance - Growth,https://app.charmverse.io/op-grants/proposals?id=7d410c5a-9eff-45fb-ad66-38097ff47695,104000.0,"Grants Season 4, Cycle 13, Growth Grant",Extra Finance,extra-finance
34,Flipside Crypto,https://vote.optimism.io/retropgf/3/application/0x377e4881a89878f1086735552bb4f83d362683e86c8b2d68126eeb726bc684bb,49689.64,RetroPGF3,Flipside Crypto,flipside-crypto
35,Flipside Crypto,https://app.optimism.io/retropgf-discovery/0x62a43123FE71f9764f26554b3F5017627996816a,40080.0,RetroPGF2,Flipside Crypto,flipside-crypto
36,Galxe,https://vote.optimism.io/retropgf/3/application/0x198fe5e11670cd1195067815e48f7e696fe5e7bf43a1c15f9bbbdcd72442c319,85313.14,RetroPGF3,Galxe,galxe
37,Galxe (Oat),https://gov.optimism.io/t/growth-experiments-grant-optimism-oat-subsidization-on-galxe-cycle-11/5535,200000.0,"Grants Season 3, Cycle 11",Galxe,galxe
38,Gelato,https://vote.optimism.io/retropgf/3/application/0xdb2312b8fbf29ccf68c0b22ee4d2d9dfcf192d32cd86c58d9bc5cfd610783084,76445.53,RetroPGF3,Gelato,gelato
39,Gelato,https://gov.optimism.io/t/gf-phase-0-proposal-gelato/873/4,300000.0,"Grants Season 1, Cycle 1 (Phase 0)",Gelato,gelato
40,Gelato,https://app.optimism.io/retropgf-discovery/0x587e9cbc67Af10a9d95F3e38836943667b331392,17983.0,RetroPGF2,Gelato,gelato
41,Geo Web,https://vote.optimism.io/retropgf/3/application/0xe1afef77d8778b1ca62e10a5157d7536abfd82ab17ef71319a8766f8b24eb1bf,31801.37,RetroPGF3,Geo Web,geo-web
42,Geo Web,https://gov.optimism.io/t/geo-web-growth-experiments-cycle-11/5594,2000.0,"Grants Season 3, Cycle 11",Geo Web,geo-web
43,Gitcoin,https://vote.optimism.io/retropgf/3/application/0x859d7ec1d7414662658b753da4559bfa6d091483fd0084b673a374e1c3cabf05,176398.23,RetroPGF3,"Gitcoin, Allo Protocol (Gitcoin), Gitcoin Passport",gitcoin
44,Gitcoin,https://app.optimism.io/retropgf-discovery/0x48A63097E1Ac123b1f5A8bbfFafA4afa8192FaB0,151494.0,RetroPGF2,"Gitcoin, Allo Protocol (Gitcoin), Gitcoin Passport",gitcoin
45,Gitcoin Passport,https://vote.optimism.io/retropgf/3/application/0x60085a98f5c48d97a28d7b45d193f9a734d1704e257df91827459b09565e0e47,99379.28,RetroPGF3,"Gitcoin, Allo Protocol (Gitcoin), Gitcoin Passport",gitcoin
46,Safe,https://gov.optimism.io/t/review-gf-phase-1-proposal-updated-template-safe/3426,500000.0,"Grants Season 2, Cycle 7 (Phase 1)",Gnosis Safe,safe-global
47,Safe (previously Gnosis Safe),https://app.optimism.io/retropgf-discovery/0x9F87C1aCaF3Afc6a5557c58284D9F8609470b571,119584.0,RetroPGF2,Gnosis Safe,safe-global
48,Hats Protocol,https://vote.optimism.io/retropgf/3/application/0xe481da7dcea63794d734fbbd156f0327a4b6905852d6865a5437b722c80871ab,79503.43,RetroPGF3,Hats Protocol,hats-protocol
49,Hedgey,https://vote.optimism.io/retropgf/3/application/0xf8dfff20523c457d87c6ee83f00574f4c73912597f0487c1eff55afb663c4fa2,55430.78,RetroPGF3,Hedgey Finance,hedgey-finance
50,Holograph,https://vote.optimism.io/retropgf/3/application/0xd36960a852e96960b93022ee1d40f33170e9786cda841db0bb6a8f4130658529,79503.43,RetroPGF3,Holograph,holograph
51,Holonym,https://vote.optimism.io/retropgf/3/application/0xb0f319e13cdddf0cb23344062d1e445a0c0f005e9d44a93692838438a5ee0c3b,64596.53,RetroPGF3,Holonym,holonym-foundation
52,Hop DAO,https://vote.optimism.io/retropgf/3/application/0x67ced2fcb164fe4806d9f1e10cb7a6ba4862530cd9d60a188e3dd3d5c6ce162d,49689.64,RetroPGF3,Hop Protocol,hop-protocol
53,Hop Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-hop-protocol/944,1000000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Hop Protocol,hop-protocol
54,Hop Protocol,https://app.optimism.io/retropgf-discovery/0x816a684f40b8B4B060A4Df7A10caD589Ef64E95e,38596.0,RetroPGF2,Hop Protocol,hop-protocol
55,Hundred Finance,https://gov.optimism.io/t/ready-gf-phase-1-hundred-finance/2733/4,300000.0,"Grants Season 1, Cycle 3 (Phase 1), Incentive Program Launched",Hundred Finance,hundred-finance
56,Hypercerts Foundation,https://vote.optimism.io/retropgf/3/application/0xdc7101e51a122ec96eaf07c4191f5cc0a096ef50cbbdfdf5936464369991afb2,94410.32,RetroPGF3,Hypercerts,hypercerts
57,InsureDAO,https://gov.optimism.io/t/review-gf-phase-1-insuredao/3584,100000.0,"Grants Season 2, Cycle 8 (Phase 1)",InsureDAO,insuredao
58,Interest Protocol 2,https://gov.optimism.io/t/review-gf-phase-1-interest-protocol-development-deployment-to-optimism/2951?u=gfxlabs,31764.0,"Grants Season 2, Cycle 6 (Phase 1)",Interest Protocol,interest-protocol
59,Kromatika,https://gov.optimism.io/t/ready-gf-phase-1-proposal-cycle-6-kromatika/3306,300000.0,"Grants Season 2, Cycle 6 (Phase 1)",Kromatika Finance,kromatika-finance
60,Kromatika Finance,https://vote.optimism.io/retropgf/3/application/0x3eca7098f253e56e7f0b2da0877651ec375762f07fdae2583281b3d0c82f50e3,24844.82,RetroPGF3,Kromatika Finance,kromatika-finance
61,Kwenta,https://vote.optimism.io/retropgf/3/application/0xd19033e89a3fcb4a7dc19baad712836f6965cf6b4efc0a40f1f0e46d23f8256c,99876.18,RetroPGF3,Kwenta,kwenta
62,Kwenta,https://gov.optimism.io/t/gf-phase-0-proposal-kwenta-protocol/1122/2,900000.0,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",Kwenta,kwenta
63,Kwenta Referral Program,https://app.charmverse.io/op-grants/page-5311906072594612,210000.0,"Grants Season 4, Cycle 15, Growth Grant",Kwenta,kwenta
64,KyberSwap,https://gov.optimism.io/t/ready-gf-phase-1-proposal-kyberswap/4068,250000.0,"Grants Season 3, Cycle 10","Kyberswap, KyberSwap",kyber-swap
65,LI.FI,https://gov.optimism.io/t/review-gf-phase-1-proposal-li-fi/3360,200000.0,"Grants Season 2, Cycle 7 (Phase 1)",LiFi,lifinance
66,LYRA V2,https://app.charmverse.io/op-grants/page-8973550421901375,210000.0,"Grants Season 4, Cycle 15, Growth Grant",Lyra Finance,lyra-finance
67,Lyra Finance,https://vote.optimism.io/retropgf/3/application/0x8e02390fa0a94edad31224af640fa639f7d62111f05f32ea1e2746111e45a905,99379.28,RetroPGF3,Lyra Finance,lyra-finance
