to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
abracadabra,2625000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Abracadabra"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1500000.0, ""token_unit"": ""ARB""}"
angle-protocol,1225000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Angle"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 700000.0, ""token_unit"": ""ARB""}"
balancer,2100000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Balancer"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1200000.0, ""token_unit"": ""ARB""}"
camelotlabs,5407500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Camelot"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 3090000.0, ""token_unit"": ""ARB""}"
cowri,1312500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Shell Protocol"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 750000.0, ""token_unit"": ""ARB""}"
defiedge,350000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""DefiEdge"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 200000.0, ""token_unit"": ""ARB""}"
dforce-network,1750000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""dForce"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1000000.0, ""token_unit"": ""ARB""}"
dinngo,104125.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Furucombo"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 59500.0, ""token_unit"": ""ARB""}"
dolomite-exchange,1750000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Dolomite"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1000000.0, ""token_unit"": ""ARB""}"
dopex-io,2625000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Dopex"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1500000.0, ""token_unit"": ""ARB""}"
equilibria-xyz,1312500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Perennial"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 750000.0, ""token_unit"": ""ARB""}"
fraxfinance,2625000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Frax Finance"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 1500000.0, ""token_unit"": ""ARB""}"
gainsnetwork,7875000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Gains Network"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 4500000.0, ""token_unit"": ""ARB""}"
galxe,875000.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Galxe"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 500000.0, ""token_unit"": ""ARB""}"
gammastrategies,1312500.0,2023-12-01,arbitrum_foundation,stip-1,"{""application_name"": ""Gamma"", ""application_url"": ""https://forum.arbitrum.foundation/c/dao-grant-programs/incentive-framework/"", ""token_amount"": 750000.0, ""token_unit"": ""ARB""}"
