to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
0xbcamp,56215.25,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Optimism Solidity Survivor Bootcamp"", ""application_url"": ""https://app.charmverse.io/op-grants/page-6305100104213606"", ""token_amount"": 32123.0, ""token_unit"": ""OP""}"
atlantis-world-core,87500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Atlantis World"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=c75c2bba-71d0-4287-9481-e81204148f40"", ""token_amount"": 50000.0, ""token_unit"": ""OP""}"
atxdao,52500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Reputation & Roles"", ""application_url"": ""https://app.charmverse.io/op-grants/page-23303127376120303"", ""token_amount"": 30000.0, ""token_unit"": ""OP""}"
aura,262500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Aura Finance"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=0d288198-b4f6-4b1d-844e-01779ccc5d2f"", ""token_amount"": 150000.0, ""token_unit"": ""OP""}"
aw-labs,61250.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Autonomous World Ecosystem - AW House (Cycle 15)"", ""application_url"": ""https://app.charmverse.io/op-grants/page-7215315141818317"", ""token_amount"": 35000.0, ""token_unit"": ""OP""}"
beefy-finance,367500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Beefy - Universal Zap"", ""application_url"": ""https://app.charmverse.io/op-grants/page-11504029675210492"", ""token_amount"": 210000.0, ""token_unit"": ""OP""}"
blocknative,52500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Blocknative Open Transaction Explorer with Optimism L2 mainnet support | RFG-1\n"", ""application_url"": ""https://app.charmverse.io/op-grants/page-3483779137072336"", ""token_amount"": 30000.0, ""token_unit"": ""OP""}"
breadcrumbsapp,61250.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Breadcrumbs.app"", ""application_url"": ""https://app.charmverse.io/op-grants/page-9658342917491014"", ""token_amount"": 35000.0, ""token_unit"": ""OP""}"
clearpool-finance,262500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Clearpool "", ""application_url"": ""https://app.charmverse.io/op-grants/page-07234089012500222"", ""token_amount"": 150000.0, ""token_unit"": ""OP""}"
cliqueofficial,175000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Clique -- Accelerating the Growth for OP AttestationStation"", ""application_url"": ""https://app.charmverse.io/op-grants/page-04871591080646143"", ""token_amount"": 100000.0, ""token_unit"": ""OP""}"
commons-stack,70000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Bring Aragon and Augmented Bonding Curves to Optimism"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=628c674f-26c4-4bd0-b667-be7d666b3886"", ""token_amount"": 40000.0, ""token_unit"": ""OP""}"
concrete-geth-therealbytes,61250.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Concrete"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=d17cdba7-adcc-48d5-bad2-c84b8cb91409"", ""token_amount"": 35000.0, ""token_unit"": ""OP""}"
culture-blocks,7000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""Culture Blocks"", ""application_url"": ""https://app.charmverse.io/op-grants/page-15839212306939565"", ""token_amount"": 4000.0, ""token_unit"": ""OP""}"
curvegrid-multibaas,43750.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""MultiBaas historical data"", ""application_url"": ""https://app.charmverse.io/op-grants/page-4678452668524904"", ""token_amount"": 25000.0, ""token_unit"": ""OP""}"
curvegrid-multibaas,57750.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""MultiBaas blockchain middleware"", ""application_url"": ""https://app.charmverse.io/op-grants/page-7416874939270843"", ""token_amount"": 33000.0, ""token_unit"": ""OP""}"
dappykit,87500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""DappyKit - SDK for social apps"", ""application_url"": ""https://app.charmverse.io/op-grants/page-3087363271203305"", ""token_amount"": 50000.0, ""token_unit"": ""OP""}"
debridge-finance,175000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""deBridge"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=43a2729f-877f-4fed-a392-36b5bd30233c"", ""token_amount"": 100000.0, ""token_unit"": ""OP""}"
decommas,70000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""DeCommas"", ""application_url"": ""https://app.charmverse.io/op-grants/page-41264905632741833"", ""token_amount"": 40000.0, ""token_unit"": ""OP""}"
desciworlddao,35000.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""DeSciWorld: Bringing DeSci to Optimism"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=35e1cf72-3a28-48b0-9df2-0e9c8c167c28"", ""token_amount"": 20000.0, ""token_unit"": ""OP""}"
dshackle-p2p-org,131250.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""DRPC - a more affordable, cost-efficient, and scalable RPC solution for Optimism"", ""application_url"": ""https://app.charmverse.io/op-grants/page-021194932007580602"", ""token_amount"": 75000.0, ""token_unit"": ""OP""}"
dshackle-p2p-org,43750.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""DRPC.ORG - a more affordable, cost-efficient, and scalable RPC solution for Optimism"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=dd72e00c-4ab4-4c7d-8296-8a790a071202"", ""token_amount"": 25000.0, ""token_unit"": ""OP""}"
ethereum-attestation-service,87500.0,2023-09-01,optimism,grants_season_4,"{""application_name"": ""EAS: Supercharged Attestation Explorer"", ""application_url"": ""https://app.charmverse.io/op-grants/proposals?id=a02dac5b-677c-4f53-abf5-4e2ebeeecac2"", ""token_amount"": 50000.0, ""token_unit"": ""OP""}"
