to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
0x-splits,42029.3959209044,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""Splits"", ""application_url"": ""https://retrolist.app/project/0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b"", ""token_amount"": 23349.664400502443, ""token_unit"": ""OP""}"
0xdeployer-ham,50890.1339176121,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""Ham"", ""application_url"": ""https://retrolist.app/project/0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080"", ""token_amount"": 28272.29662089561, ""token_unit"": ""OP""}"
0xkawz-circle-tech,14369.998742095358,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""Circle.tech"", ""application_url"": ""https://retrolist.app/project/0x46ca6c364e7a7bc7dd79db1f22a66b305a77f8c912636b00a4b9a6b28c423e8f"", ""token_amount"": 7983.332634497421, ""token_unit"": ""OP""}"
0xproject,628631.0963282142,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""0x Protocol"", ""application_url"": ""https://retrolist.app/project/0x0fad18f37ecec4f4f4ca18e60c353eb11462363e8aa14562b5d96af54108d106"", ""token_amount"": 349239.497960119, ""token_unit"": ""OP""}"
0xsend,2507.1241569871017,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""/send"", ""application_url"": ""https://retrolist.app/project/0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a"", ""token_amount"": 1392.846753881723, ""token_unit"": ""OP""}"
0xsequence,0.0,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""Sequence"", ""application_url"": ""https://retrolist.app/project/0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018"", ""token_amount"": 0.0, ""token_unit"": ""OP""}"
3dns-xyz,11409.257844817226,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""3DNS"", ""application_url"": ""https://retrolist.app/project/0x08d4923c8047ec8856f54a1d6e0763d41eaced38e621b2f15284437918defe1f"", ""token_amount"": 6338.476580454015, ""token_unit"": ""OP""}"
aave,248367.6463620962,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""Aave"", ""application_url"": ""https://retrolist.app/project/0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754"", ""token_amount"": 137982.0257567201, ""token_unit"": ""OP""}"
across,133054.19263903427,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""Across Protocol"", ""application_url"": ""https://retrolist.app/project/0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f"", ""token_amount"": 73918.9959105746, ""token_unit"": ""OP""}"
aerodrome-finance,395020.4290214594,2024-07-17,optimism_foundation,retrofunding4,"{""application_name"": ""Aerodrome Finance"", ""application_url"": ""https://retrolist.app/project/0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365"", ""token_amount"": 219455.7939008108, ""token_unit"": ""OP""}"
