to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
1hive,3059.75274,30/10/24,octant-golemfoundation,epoch_5,"{""application_name"": ""Gardens"", ""application_url"": ""https://octant.app/project/5/0x809C9f8dd8CA93A41c3adca4972Fa234C28F7714"", ""token_amount"": 1.221, ""token_unit"": ""ETH""}"
aestus-relay,37839.694,,octant-golemfoundation,epoch_5,"{""application_name"": ""Aestus MEV Relay"", ""application_url"": ""https://octant.app/project/5/0xa095Ee27B11FCAac8e1be84891ab62C74F08C854"", ""token_amount"": 15.1, ""token_unit"": ""ETH""}"
,23580.8954,,octant-golemfoundation,epoch_5,"{""application_name"": ""B<>rder/ess Developers"", ""application_url"": ""https://octant.app/project/5/0xFC1436689F68079Fc17A931666b7947789229ed8"", ""token_amount"": 9.41, ""token_unit"": ""ETH""}"
buidlguidl,19090.25092,30/10/24,octant-golemfoundation,epoch_5,"{""application_name"": ""🏰 BuidlGuidl"", ""application_url"": ""https://octant.app/project/5/0x00080706a7D99CBC163D52dcF435205B1aD940D1"", ""token_amount"": 7.618, ""token_unit"": ""ETH""}"
dappnode,14203.66792,30/10/24,octant-golemfoundation,epoch_5,"{""application_name"": ""Dappnode"", ""application_url"": ""https://octant.app/project/5/0x53390590476dC98860316e4B46Bb9842AF55efc4"", ""token_amount"": 5.668, ""token_unit"": ""ETH""}"
desci-latam,4974.2909,30/10/24,octant-golemfoundation,epoch_5,"{""application_name"": ""DeSci LATAM"", ""application_url"": ""https://octant.app/project/5/0x7Dd488f03E0A043b550E82D3C2685aA83B96407C"", ""token_amount"": 1.985, ""token_unit"": ""ETH""}"
,20726.62974,,octant-golemfoundation,epoch_5,"{""application_name"": ""Doots Podcast"", ""application_url"": ""https://octant.app/project/5/0x09A38B6187a2c44B6ba71c277c50764B5878b824"", ""token_amount"": 8.271, ""token_unit"": ""ETH""}"
ecosynthesisx,7723.30708,30/10/24,octant-golemfoundation,epoch_5,"{""application_name"": ""EcoSynthesisX"", ""application_url"": ""https://octant.app/project/5/0x7380A42137D16a0E7684578d8b3d32e1fbD021B5"", ""token_amount"": 3.082, ""token_unit"": ""ETH""}"
ethereum-attestation-service,62455.54262,30/10/24,octant-golemfoundation,epoch_5,"{""application_name"": ""Ethereum Attestation Service"", ""application_url"": ""https://octant.app/project/5/0xBCA48834b3653ec795411EB0FCBE4038F8527d62"", ""token_amount"": 24.923, ""token_unit"": ""ETH""}"
ethereum-cat-herders,39423.44808,30/10/24,octant-golemfoundation,epoch_5,"{""application_name"": ""Ethereum Cat Herders"", ""application_url"": ""https://octant.app/project/5/0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953"", ""token_amount"": 15.732, ""token_unit"": ""ETH""}"
